education_level,field_of_study,skills,interests,career_goal,career
Diploma,Computer Science,"python, pandas, data analysis","research, data",analytics,Data Scientist
Diploma,Computer Science,"data analysis, sql, python","data, patterns",data scientist,Data Scientist
Graduate,Computer Science,"data analysis, statistics, pandas","patterns, data",research,Data Scientist
Diploma,Mathematics,"python, statistics, pandas","patterns, research",research,Data Scientist
Undergraduate,Statistics,"pandas, python, sql","patterns, data",research,Data Scientist
Graduate,Mathematics,"python, sql, pandas","data, research",data scientist,Data Scientist
Diploma,Mathematics,"data analysis, pandas, sql","research, analytics",data scientist,Data Scientist
Undergraduate,Statistics,"pandas, python, sql","data, research",research,Data Scientist
Graduate,Mathematics,"statistics, pandas, data analysis","research, analytics",research,Data Scientist
Undergraduate,Computer Science,"data analysis, statistics, pandas","research, data",research,Data Scientist
Diploma,Mathematics,"data analysis, statistics, pandas","analytics, data",data scientist,Data Scientist
Undergraduate,Mathematics,"sql, pandas, python","research, analytics",analytics,Data Scientist
Diploma,Statistics,"sql, data analysis, pandas","patterns, data",research,Data Scientist
Undergraduate,Statistics,"data analysis, pandas, sql","patterns, analytics",research,Data Scientist
Graduate,Statistics,"statistics, sql, python","data, patterns",data scientist,Data Scientist
Graduate,Statistics,"sql, python, statistics","patterns, analytics",research,Data Scientist
Undergraduate,Mathematics,"data analysis, python, pandas","data, analytics",analytics,Data Scientist
Graduate,Mathematics,"python, pandas, statistics","research, patterns",data scientist,Data Scientist
Graduate,Mathematics,"data analysis, statistics, pandas","data, analytics",research,Data Scientist
Undergraduate,Statistics,"statistics, pandas, python","data, analytics",research,Data Scientist
Graduate,Computer Science,"python, pandas, statistics","research, data",data scientist,Data Scientist
Undergraduate,Computer Science,"python, sql, data analysis","research, data",analytics,Data Scientist
Undergraduate,Statistics,"pandas, sql, python","research, analytics",research,Data Scientist
Undergraduate,Mathematics,"sql, data analysis, python","research, data",data scientist,Data Scientist
Graduate,Computer Science,"data analysis, statistics, pandas","research, data",data scientist,Data Scientist
Diploma,Computer Science,"statistics, python, sql","analytics, data",analytics,Data Scientist
Graduate,Mathematics,"sql, statistics, pandas","research, analytics",analytics,Data Scientist
Graduate,Data Science,"statistics, sql, data analysis","research, data",data scientist,Data Scientist
Graduate,Data Science,"pandas, sql, statistics","patterns, analytics",data scientist,Data Scientist
Diploma,Computer Science,"python, sql, pandas","analytics, data",data scientist,Data Scientist
Undergraduate,Software Engineering,"algorithms, tensorflow, python","technology, artificial intelligence",ai engineer,Machine Learning Engineer
Graduate,Software Engineering,"python, tensorflow, scikit-learn","artificial intelligence, technology",build ai systems,Machine Learning Engineer
Diploma,Computer Science,"python, machine learning, algorithms","technology, automation",ai engineer,Machine Learning Engineer
Undergraduate,Data Science,"python, machine learning, tensorflow","artificial intelligence, automation",ai engineer,Machine Learning Engineer
Diploma,Computer Engineering,"tensorflow, algorithms, python","automation, technology",machine learning,Machine Learning Engineer
Diploma,Computer Science,"scikit-learn, python, tensorflow","technology, models",build ai systems,Machine Learning Engineer
Graduate,Computer Science,"algorithms, python, tensorflow","artificial intelligence, models",machine learning,Machine Learning Engineer
Diploma,Software Engineering,"tensorflow, python, scikit-learn","automation, models",build ai systems,Machine Learning Engineer
